MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60257.930536,15.748,0.01,1823,18,c,0,5.23,41.57554,-30.23949,10170.36,629.05,2.66,2.33,-48.7,-0.411,19.79,21.9,03a60258o0335c
60257.93642,15.733,0.011,1848,20,c,0,4.0,41.57554,-30.23949,10111.91,547.9,2.62,2.31,-48.8,-0.425,19.76,21.91,03a60258o0347c
60257.939197,15.743,0.009,1831,17,c,0,4.39,41.57554,-30.23949,3252.07,10512.1,2.74,2.41,-47.7,-0.374,19.82,21.9,03a60258o0353c
60257.971265,15.729,0.01,1855,19,c,0,4.99,41.57554,-30.23949,10087.43,664.64,2.55,2.18,-52.1,-0.429,19.84,21.92,03a60258o0420c
60259.182686,15.118,0.008,3258,26,o,0,17.16,41.57554,-30.23949,10171.03,464.89,3.12,2.5,-27.1,-0.344,19.35,20.99,04a60259o0340o
60259.185884,15.147,0.009,3172,27,o,0,12.99,41.57554,-30.23949,10191.4,501.75,3.26,2.62,-31.5,-0.312,19.37,21.01,04a60259o0347o
60259.191468,15.148,0.008,3167,26,o,0,16.65,41.57554,-30.23949,10131.77,416.5,3.14,2.5,-31.2,-0.332,19.38,21.02,04a60259o0359o
60259.226415,15.14,0.008,3191,26,o,0,14.59,41.57554,-30.23949,10113.86,508.0,3.27,2.41,-28.7,-0.344,19.43,21.05,04a60259o0430o
60260.855701,15.725,0.01,1863,18,c,0,4.34,41.57554,-30.23949,3469.33,103.84,2.47,2.33,-66.7,-0.363,19.69,21.65,03a60261o0173c
60260.856602,15.781,0.011,1768,19,c,0,4.08,41.57554,-30.23949,6661.45,10365.0,2.97,2.48,-41.9,-0.374,19.7,21.66,03a60261o0175c
60260.858888,15.756,0.01,1809,19,c,0,3.13,41.57554,-30.23949,3450.78,64.36,2.5,2.41,-57.4,-0.353,19.69,21.68,03a60261o0180c
60260.859789,15.774,0.01,1780,19,c,0,3.27,41.57554,-30.23949,6641.74,10326.04,2.92,2.54,-48.0,-0.371,19.67,21.7,03a60261o0182c
60260.861631,15.753,0.01,1815,19,c,0,3.32,41.57554,-30.23949,3508.3,146.12,2.38,2.28,-51.8,-0.364,19.76,21.69,03a60261o0186c
60260.863451,15.764,0.011,1797,20,c,0,3.0,41.57554,-30.23949,6701.55,10406.25,2.82,2.42,-47.1,-0.375,19.75,21.7,03a60261o0190c
60260.886268,23.38,5.273,2,8,c,0,1.05,41.57554,-30.23949,3540.74,31.32,2.52,2.39,-47.0,-0.366,19.73,21.79,03a60261o0235c
60260.886719,15.738,0.011,1841,20,c,0,2.74,41.57554,-30.23949,6730.34,10291.73,2.83,2.43,-44.7,-0.379,19.77,21.8,03a60261o0236c
60262.180428,15.198,0.008,3026,23,o,0,13.63,41.57554,-30.23949,2051.32,4816.15,2.22,1.92,76.8,-0.41,19.45,20.95,04a60262o0323o
60262.18378,15.184,0.008,3065,24,o,0,7.17,41.57554,-30.23949,2072.55,4851.36,2.16,1.94,74.4,-0.408,19.51,20.95,04a60262o0330o
60262.190514,15.182,0.007,3070,23,o,0,9.0,41.57554,-30.23949,2015.08,4769.44,2.16,1.96,74.7,-0.403,19.49,21.06,04a60262o0343o
60262.226115,15.18,0.008,3077,24,o,0,7.28,41.57554,-30.23949,1998.91,4855.44,2.06,1.82,76.6,-0.409,19.49,21.02,04a60262o0417o
60265.155274,14.865,0.009,4111,37,o,0,66.66,41.57554,-30.23949,9338.12,8920.55,2.47,1.88,1.2,-0.445,19.35,20.79,04a60265o0273o
60265.158909,15.091,0.008,3338,28,o,0,44.01,41.57554,-30.23949,9358.88,8956.01,2.39,2.06,6.3,-0.448,19.37,20.71,04a60265o0281o
60265.172401,15.059,0.008,3439,28,o,0,29.01,41.57554,-30.23949,9302.87,8864.56,2.49,2.15,7.6,-0.464,19.42,20.81,04a60265o0309o
60265.17751,15.114,0.009,3269,28,o,0,22.33,41.57554,-30.23949,9283.6,8976.22,2.38,2.05,4.8,-0.438,19.44,20.83,04a60265o0320o
60268.157767,15.229,0.009,2940,25,o,0,12.47,41.57554,-30.23949,5320.57,8564.09,2.54,2.0,-73.9,-0.423,19.26,20.51,04a60268o0268o
60268.160683,15.159,0.009,3136,28,o,0,21.62,41.57554,-30.23949,5341.72,8600.07,2.11,1.9,-53.4,-0.421,19.35,20.55,04a60268o0274o
60268.165971,15.039,0.009,3504,30,o,0,11.68,41.57554,-30.23949,5285.37,8517.62,2.4,1.9,-72.7,-0.45,19.33,20.6,04a60268o0285o
60268.201167,15.116,0.009,3262,28,o,0,23.9,41.57554,-30.23949,5268.92,8604.59,2.21,1.94,-70.6,-0.45,19.33,20.65,04a60268o0360o
60269.813994,15.261,0.009,2854,27,o,0,5.87,41.57554,-30.23949,7881.34,7852.05,2.74,2.19,-45.4,-0.397,18.97,19.82,03a60270o0073o
